trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.65, 'e': 0.34809311449244207}",25,13,-5.336115937670099,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.34461218334751764}",20,11,-4.63941826814915,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.65, 'e': 0.34116606151404244}",30,6,-41.32365442754946,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.65, 'e': 0.337754400898902}",20,9,-2.0826670990052376,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.65, 'e': 0.334376856889913}",25,13,23.413968322458864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.65, 'e': 0.33103308832101386}",30,13,-27.668943756087245,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.65, 'e': 0.3277227574378037}",20,8,-92.40428872643693,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
112,False,"{'a': 0.65, 'e': 0.3244455298634257}",20,0,-34.15850695831213,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.65, 'e': 0.3212010745647914}",25,8,-14.624587956559399,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.65, 'e': 0.3179890638191435}",20,0,-41.161183274629934,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.65, 'e': 0.31480917318095203}",25,16,14.188253109732873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.65, 'e': 0.3116610814491425}",20,4,19.20473669656274,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.65, 'e': 0.30854447063465107}",20,12,-20.182383299057133,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.65, 'e': 0.30545902592830454}",20,16,6.526549182977595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.3024044356690215}",25,0,26.30668314946843,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.65, 'e': 0.29938039131233124}",25,8,3.9567681929443177,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.2963865873992079}",25,19,12.238417863884248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.65, 'e': 0.29342272152521587}",25,17,14.239777446260492,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.65, 'e': 0.2904884943099637}",25,11,-65.27505159030834,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
124,False,"{'a': 0.65, 'e': 0.28758360936686406}",20,9,21.493462552889778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.65, 'e': 0.2847077732731954}",30,16,4.246397097595465,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.65, 'e': 0.28186069554046345}",25,18,-10.743995803042031,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.65, 'e': 0.2790420885850588}",25,7,9.799824546375616,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.65, 'e': 0.2762516676992082}",25,0,-33.15705907640469,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.65, 'e': 0.27348915102221616}",25,18,0.5441605876358091,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.65, 'e': 0.270754259511994}",20,12,-9.76195679971877,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.65, 'e': 0.26804671691687404}",20,6,12.502213865425714,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.65, 'e': 0.2653662497477053}",25,4,5.592753204375629,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.65, 'e': 0.2627125872502282}",25,15,-5.756333279625102,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.65, 'e': 0.2600854613777259}",35,18,-26.659056611641713,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.65, 'e': 0.2574846067639487}",25,13,1.0670600943866004,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.65, 'e': 0.2549097606963092}",30,21,11.156088499391508,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.65, 'e': 0.2523606630893461}",25,9,-38.82699905850023,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.65, 'e': 0.24983705645845267}",30,23,2.0059036576408196,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.65, 'e': 0.24733868589386815}",20,4,-14.197532170295254,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.65, 'e': 0.24486529903492946}",30,16,-45.368029185772514,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.65, 'e': 0.24241664604458016}",25,15,5.541756877564157,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.65, 'e': 0.23999247958413436}",30,8,31.274108368228784,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.65, 'e': 0.23759255478829303}",20,10,9.193182785372091,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.65, 'e': 0.2352166292404101}",20,13,-3.42976513971186,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.65, 'e': 0.232864462948006}",25,14,3.3049549526601334,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.65, 'e': 0.23053581831852593}",20,0,19.406639995942832,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.65, 'e': 0.22823046013534068}",25,18,11.87661443556842,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.65, 'e': 0.22594815553398728}",20,14,14.439004470232915,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.65, 'e': 0.22368867397864742}",20,10,5.754899877827418,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.65, 'e': 0.22145178723886094}",30,17,25.124340774954938,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.65, 'e': 0.21923726936647234}",20,16,8.505393868901578,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.65, 'e': 0.2170448966728076}",25,15,11.849350901406572,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.65, 'e': 0.21487444770607952}",30,15,15.310453016416623,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.65, 'e': 0.21272570322901874}",30,3,-23.44037029769085,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.65, 'e': 0.21059844619672854}",25,3,-10.076496196369064,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.65, 'e': 0.20849246173476127}",30,0,-27.16294861323924,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.65, 'e': 0.20640753711741366}",20,7,23.224016368121767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.65, 'e': 0.20434346174623952}",30,8,23.15731166158441,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.65, 'e': 0.20230002712877712}",20,10,-8.016520193358494,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.65, 'e': 0.20027702685748935}",25,15,-34.89124640127555,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.65, 'e': 0.19827425658891445}",20,10,-7.174442212892899,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,14.912823529629232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,22.377622161030363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,6,41.71930074575117,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
