trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,2,-23.77430721668867,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,8,-53.03187202175466,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,0,-53.44268862910844,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,2,-62.430631122394345,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,0,-11.099537337178077,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",20,0,-11.753010094125031,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,15,-17.709103191671677,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,12,-11.912069909305714,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,11,-47.1669905821169,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,0,-32.44939169787192,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",25,16,-0.23784829967788212,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,6,-32.412558897093966,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,12,16.765650305435845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,8,-114.00268501878138,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,0,-66.31947633503489,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,16,9.247333018151831,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",30,16,-39.02464690096084,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,0,-23.544090609010887,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",25,0,-38.68201280893353,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,6,7.442639108016832,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",25,2,-36.59503642023286,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,13,-7.256089382212609,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,0,-15.631321902850491,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",30,0,5.966040390990422,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,0,-0.3464698230050067,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",30,1,19.34619824585592,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",20,5,-19.932320329939095,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",25,16,-19.162176454444523,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",25,0,16.416214897964974,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",25,0,-110.67159689704869,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",25,14,-34.774173157313406,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",20,14,3.5270063330603243,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",30,15,-61.90920487000232,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,0,-137.4833328839124,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,0,-0.12203787308446157,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",30,8,16.02053025042704,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,0,-50.79289205448605,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.358748297681892}",30,21,17.121076819027685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",25,5,-11.51817986988103,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",25,0,-85.83419151333675,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",30,24,7.999954578688296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",25,0,5.738745789745908,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,0,-40.49436023582651,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,0,-7.413439156688719,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,0,6.9338757984195905,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",35,11,24.51341132668763,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,12,1.1942094212946737,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,10,-31.433248689843808,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
